Qubit_op = 6 59
0.7336684277454797 * IIIIII
- 0.36683421387273996 * IIIIZI
- 0.1940851769163829 * IIIIIZ
+ 0.09404055702661708 * IIIIZZ
+ 0.025008475237619752 * IIIYZY
- 0.01113100353020125 * IIIYIY
+ 0.025008475237619752 * IIIXZX
- 0.01113100353020125 * IIIXIX
+ 0.003002031431574346 * IXYIXY
+ 0.003002031431574346 * IXXIYY
+ 0.003002031431574346 * IYYIYY
- 0.003002031431574346 * IYXIXY
- 0.003002031431574346 * IXYIYX
+ 0.003002031431574346 * IXXIXX
+ 0.003002031431574346 * IYYIXX
+ 0.003002031431574346 * IYXIYX
- 0.3668342138727401 * IZIIII
+ 0.10004461988976578 * IZIIIZ
- 0.013877471707418501 * IZIYZY
- 0.013877471707418501 * IZIXZX
- 0.0013732340886086097 * XYIIXY
+ 0.0013732340886086097 * YYIIYY
+ 0.0013732340886086097 * XXIIYY
+ 0.0013732340886086097 * YXIIXY
+ 0.0013732340886086097 * XYIIYX
+ 0.0013732340886086097 * YYIIXX
+ 0.0013732340886086097 * XXIIXX
- 0.0013732340886086097 * YXIIYX
- 0.17274903695635724 * IIIZII
+ 0.0854664648456479 * IIIZZI
- 0.1940851769163829 * IIZIII
+ 0.10004461988976578 * IIZIZI
- 0.0013732340886086093 * IXYXYI
+ 0.0013732340886086093 * IYYYYI
+ 0.0013732340886086093 * IXXYYI
+ 0.0013732340886086093 * IYXXYI
+ 0.0013732340886086093 * IXYYXI
+ 0.0013732340886086093 * IYYXXI
+ 0.0013732340886086093 * IXXXXI
- 0.0013732340886086093 * IYXYXI
+ 0.025008475237619676 * YZYIII
- 0.013877471707418432 * YZYIZI
+ 0.025008475237619676 * XZXIII
- 0.013877471707418432 * XZXIZI
+ 0.0009080536325306529 * XYIXYI
+ 0.0009080536325306529 * XXIYYI
+ 0.0009080536325306529 * YYIYYI
- 0.0009080536325306529 * YXIXYI
- 0.0009080536325306529 * XYIYXI
+ 0.0009080536325306529 * XXIXXI
+ 0.0009080536325306529 * YYIXXI
+ 0.0009080536325306529 * YXIYXI
- 0.172749036956357 * ZIIIII
+ 0.0872825721107091 * ZIIIZI
+ 0.08728257211070932 * IZIZII
+ 0.09404055702661708 * IZZIII
- 0.01113100353020125 * YIYIII
- 0.01113100353020125 * XIXIII
+ 0.0854664648456479 * ZZIIII
