Qubit_op = 8 129
1.2490449041891534 * IIIIIIII
- 0.6245224520945765 * IIIIIZII
- 0.2813944085608997 * IIIIIIIZ
+ 0.13896634455842566 * IIIIIZIZ
+ 0.005040364182335677 * IIIIIIYY
- 0.004478442409996276 * IIIIIZYY
+ 0.005040364182335677 * IIIIIIXX
- 0.004478442409996276 * IIIIIZXX
- 0.0024647715127904184 * IIIIYZZY
+ 0.0024484855207878393 * IIIIYIZY
- 0.0024647715127904184 * IIIIXZZX
+ 0.0024484855207878393 * IIIIXIZX
+ 0.001730859722024192 * IXZYIXZY
+ 0.001730859722024192 * IXZXIYZY
+ 0.001730859722024192 * IYZYIYZY
- 0.001730859722024192 * IYZXIXZY
- 0.001730859722024192 * IXZYIYZX
+ 0.001730859722024192 * IXZXIXZX
+ 0.001730859722024192 * IYZYIXZX
+ 0.001730859722024192 * IYZXIYZX
- 0.0019582603188284427 * IXYIIXZY
- 0.0019582603188284427 * IXXIIYZY
- 0.0019582603188284427 * IYYIIYZY
+ 0.0019582603188284427 * IYXIIXZY
+ 0.0019582603188284427 * IXYIIYZX
- 0.0019582603188284427 * IXXIIXZX
- 0.0019582603188284427 * IYYIIXZX
- 0.0019582603188284427 * IYXIIYZX
- 0.6245224520945764 * IZIIIIII
+ 0.142428064002474 * IZIIIIIZ
- 0.0005619217723394009 * IZIIIIYY
- 0.0005619217723394009 * IZIIIIXX
+ 1.6285992002578905e-05 * IZIIYZZY
+ 1.6285992002578905e-05 * IZIIXZZX
- 0.0012160997643926377 * XYIIIXZY
+ 0.0012160997643926377 * YYIIIYZY
+ 0.0012160997643926377 * XXIIIYZY
+ 0.0012160997643926377 * YXIIIXZY
+ 0.0012160997643926377 * XYIIIYZX
+ 0.0012160997643926377 * YYIIIXZX
+ 0.0012160997643926377 * XXIIIXZX
- 0.0012160997643926377 * YXIIIYZX
- 0.17889007886395863 * IIIIIIZI
+ 0.08005967942927157 * IIIIIZZI
- 0.011382657661451481 * IIIIYZYI
+ 0.0004243444316661929 * IIIIYIYI
- 0.011382657661451481 * IIIIXZXI
+ 0.0004243444316661929 * IIIIXIXI
- 0.001958260318828442 * IXZYIXYI
- 0.001958260318828442 * IXZXIYYI
- 0.001958260318828442 * IYZYIYYI
+ 0.001958260318828442 * IYZXIXYI
+ 0.001958260318828442 * IXZYIYXI
- 0.001958260318828442 * IXZXIXXI
- 0.001958260318828442 * IYZYIXXI
- 0.001958260318828442 * IYZXIYXI
+ 0.009385360002707809 * IXYIIXYI
+ 0.009385360002707809 * IXXIIYYI
+ 0.009385360002707809 * IYYIIYYI
- 0.009385360002707809 * IYXIIXYI
- 0.009385360002707809 * IXYIIYXI
+ 0.009385360002707809 * IXXIIXXI
+ 0.009385360002707809 * IYYIIXXI
+ 0.009385360002707809 * IYXIIYXI
+ 0.09883039943468719 * IZIIIIZI
+ 0.010958313229785289 * IZIIYZYI
+ 0.010958313229785289 * IZIIXZXI
+ 0.005266984399059534 * XYIIIXYI
- 0.005266984399059534 * YYIIIYYI
- 0.005266984399059534 * XXIIIYYI
- 0.005266984399059534 * YXIIIXYI
- 0.005266984399059534 * XYIIIYXI
- 0.005266984399059534 * YYIIIXXI
- 0.005266984399059534 * XXIIIXXI
+ 0.005266984399059534 * YXIIIYXI
- 0.16423796466971788 * IIIIZIII
+ 0.07870125661128599 * IIIIZZII
- 0.2813944085608995 * IIIZIIII
+ 0.142428064002474 * IIIZIZII
+ 0.005040364182335657 * IIYYIIII
- 0.0005619217723393811 * IIYYIZII
+ 0.005040364182335657 * IIXXIIII
- 0.0005619217723393811 * IIXXIZII
- 0.001216099764392636 * IXZYXYII
+ 0.001216099764392636 * IYZYYYII
+ 0.001216099764392636 * IXZXYYII
+ 0.001216099764392636 * IYZXXYII
+ 0.001216099764392636 * IXZYYXII
+ 0.001216099764392636 * IYZYXXII
+ 0.001216099764392636 * IXZXXXII
- 0.001216099764392636 * IYZXYXII
- 0.002464771512790391 * YZZYIIII
+ 1.6285992002551417e-05 * YZZYIZII
- 0.002464771512790391 * XZZXIIII
+ 1.6285992002551417e-05 * XZZXIZII
- 0.17889007886395863 * IIZIIIII
+ 0.09883039943468716 * IIZIIZII
+ 0.0052669843990595325 * IXYIXYII
- 0.0052669843990595325 * IYYIYYII
- 0.0052669843990595325 * IXXIYYII
- 0.0052669843990595325 * IYXIXYII
- 0.0052669843990595325 * IXYIYXII
- 0.0052669843990595325 * IYYIXXII
- 0.0052669843990595325 * IXXIXXII
+ 0.0052669843990595325 * IYXIYXII
- 0.011382657661451422 * YZYIIIII
+ 0.01095831322978523 * YZYIIZII
- 0.011382657661451422 * XZXIIIII
+ 0.01095831322978523 * XZXIIZII
+ 0.0034177257235728804 * XYIIXYII
+ 0.0034177257235728804 * XXIIYYII
+ 0.0034177257235728804 * YYIIYYII
- 0.0034177257235728804 * YXIIXYII
- 0.0034177257235728804 * XYIIYXII
+ 0.0034177257235728804 * XXIIXXII
+ 0.0034177257235728804 * YYIIXXII
+ 0.0034177257235728804 * YXIIYXII
- 0.1642379646697177 * ZIIIIIII
+ 0.08553670805843172 * ZIIIIZII
+ 0.08553670805843185 * IZIIZIII
+ 0.13896634455842566 * IZIZIIII
- 0.004478442409996276 * IZYYIIII
- 0.004478442409996276 * IZXXIIII
+ 0.0024484855207878393 * YIZYIIII
+ 0.0024484855207878393 * XIZXIIII
+ 0.08005967942927157 * IZZIIIII
+ 0.0004243444316661929 * YIYIIIII
+ 0.0004243444316661929 * XIXIIIII
+ 0.07870125661128599 * ZZIIIIII
