Qubit_op = 6 59
0.7336684277454796 * IIIIII
- 0.36683421387273996 * IIIIZI
- 0.19408517691638288 * IIIIIZ
+ 0.09404055702661707 * IIIIZZ
+ 0.02500847523761972 * IIIYZY
- 0.011131003530201236 * IIIYIY
+ 0.02500847523761972 * IIIXZX
- 0.011131003530201236 * IIIXIX
+ 0.0030020314315743453 * IXYIXY
+ 0.0030020314315743453 * IXXIYY
+ 0.0030020314315743453 * IYYIYY
- 0.0030020314315743453 * IYXIXY
- 0.0030020314315743453 * IXYIYX
+ 0.0030020314315743453 * IXXIXX
+ 0.0030020314315743453 * IYYIXX
+ 0.0030020314315743453 * IYXIYX
- 0.36683421387274007 * IZIIII
+ 0.10004461988976575 * IZIIIZ
- 0.013877471707418487 * IZIYZY
- 0.013877471707418487 * IZIXZX
- 0.0013732340886086084 * XYIIXY
+ 0.0013732340886086084 * YYIIYY
+ 0.0013732340886086084 * XXIIYY
+ 0.0013732340886086084 * YXIIXY
+ 0.0013732340886086084 * XYIIYX
+ 0.0013732340886086084 * YYIIXX
+ 0.0013732340886086084 * XXIIXX
- 0.0013732340886086084 * YXIIYX
- 0.17274903695635718 * IIIZII
+ 0.08546646484564786 * IIIZZI
- 0.19408517691638286 * IIZIII
+ 0.10004461988976575 * IIZIZI
- 0.0013732340886086084 * IXYXYI
+ 0.0013732340886086084 * IYYYYI
+ 0.0013732340886086084 * IXXYYI
+ 0.0013732340886086084 * IYXXYI
+ 0.0013732340886086084 * IXYYXI
+ 0.0013732340886086084 * IYYXXI
+ 0.0013732340886086084 * IXXXXI
- 0.0013732340886086084 * IYXYXI
+ 0.025008475237619655 * YZYIII
- 0.013877471707418416 * YZYIZI
+ 0.025008475237619655 * XZXIII
- 0.013877471707418416 * XZXIZI
+ 0.0009080536325306516 * XYIXYI
+ 0.0009080536325306516 * XXIYYI
+ 0.0009080536325306516 * YYIYYI
- 0.0009080536325306516 * YXIXYI
- 0.0009080536325306516 * XYIYXI
+ 0.0009080536325306516 * XXIXXI
+ 0.0009080536325306516 * YYIXXI
+ 0.0009080536325306516 * YXIYXI
- 0.17274903695635693 * ZIIIII
+ 0.08728257211070903 * ZIIIZI
+ 0.08728257211070932 * IZIZII
+ 0.09404055702661707 * IZZIII
- 0.011131003530201236 * YIYIII
- 0.011131003530201236 * XIXIII
+ 0.08546646484564786 * ZZIIII
